"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"C4:0 (Carn)",0.10082295101354,0.228534326868304,0.121255640563565,0.0741225279801661,0.22735512003367,0.209411265414834,-0.0587447490300632,0.140412103304268,0.202032547352893,0.249875323928692,0.165842515762469,0.0182957657854708,0.746666301952366,0.0360308965153917,0.039074713101549,0.063759795227723,0.0713443332132504,0.189461661403385,0.0750607806147362,0.145650563763974,-0.235977474911041,0.0542375276469481,0.380331639470646,0.164823123370717,0.123673296055654,0.325136232152133,0.0375603600880906,-0.00852033919207698,0.713138192692402,0.127175001437421,0.226371613567684,0.304337815997182,0.0866590548264743,0.191698135788867,0.264222221298849,0.0318930434481684,0.217818593164605,0.225329540849942,0.281729511795202,0.0852149879740336,-0.0321096204046309,0.0469727861421197
"C5-M-DC/C6-DC (Carn)",-0.438348684717534,-0.487121303611339,-0.309084061219206,-0.644843728437236,-0.823363181101376,-0.456496137297552,-0.310109059380072,-0.429293472644703,-0.429809430483964,-0.335771247332077,-0.341386615850002,-0.2229092657344,-0.569317471668704,-0.683107543493451,-0.521680225183599,-0.516804577758847,-0.397925182114742,-0.639104479162171,-0.417272802317438,-0.376078509904825,-0.785892764166721,-0.601889570024172,-0.0739711288635094,-0.403853556289717,-0.254914791239094,-0.44400758358936,-0.590927410929679,-0.150297663537585,-0.371527833121294,-0.441805729881386,-0.5182028824725,-0.519937336073045,-0.392967961362849,-0.456312460365671,-0.225254508968637,-0.786321761803603,-0.397991389311995,-0.446267065380006,-0.459079200376082,-0.57817082123701,-0.60939908111022,-0.42822700063445
"Tryptophan",1.03567969460941,1.22646522053176,1.15616428839261,1.21608754297271,1.1390290816201,1.22951391694365,1.31718343514841,1.14380129778096,1.18147124901267,1.14470494619984,1.06775620586698,1.19324862624284,1.20357195494487,1.2402181180447,1.13305065565729,1.18936304835509,1.24422629165112,1.14920944826642,1.11119827715751,1.20410871569341,0.856961950779028,1.05933343291301,1.26154378984424,1.21678878366472,1.2607214303593,1.07240259990539,1.0436886600803,1.29426589415832,1.12086129045599,1.25084674585925,1.1150767504858,1.18446111874626,1.19430910584738,1.11520311326961,1.21516958611064,1.13783746152451,1.15120523107677,1.22496883226841,1.13119798410514,1.17296218104372,1.10561925363709,1.17680266804172
"C5:1 (Carn)",-0.198358924717039,-0.242178015212673,-0.17444663335999,-0.148953748041771,-0.267964700033724,-0.325606014094616,-0.366173654994612,-0.183126764844761,-0.22350744572199,-0.240035691697252,-0.235230248039947,-0.28649896516194,-0.199100405289181,-0.372779018047123,-0.352004209192019,-0.20757386323682,-0.367040719788255,-0.252188639726822,-0.278183174032151,-0.223952982687222,-0.0901417811592815,-0.418652929551423,0.205725067610498,-0.225343714851722,-0.231545171035955,-0.18962286638642,-0.293549927340216,0.0888731797769034,-0.0903884318148407,-0.257327599238743,-0.264599988839294,-0.248883004058347,-0.228401030482214,-0.191101962193688,-0.222163435558668,-0.373455346173017,-0.2301546138175,-0.159511741813409,-0.237816400807056,-0.209919584074619,-0.408176065258378,-0.244136362309384
"C5:0 (Carn)",-0.268806343781802,-0.178878883484792,-0.128274296929995,-0.178898008643874,-0.0696928632900258,-0.22835458643106,-0.289954244789821,-0.178003562770355,-0.117701106914923,-0.18229145835077,-0.128484938327313,-0.322939183075409,0.288952934201141,-0.301894617117105,-0.202001348345526,-0.0329954040501421,-0.235260616643477,-0.123810410117885,-0.20399834834245,-0.188131238725145,-0.459108616946138,-0.2155362534831,0.208432774758954,-0.0617189554083581,-0.207198172737163,-0.0958552303113403,-0.215480745174408,-0.323514575281118,0.248687412297068,-0.112903876273177,0.00812446158768855,-0.0552880879802326,-0.349981850646695,-0.0896410148710878,0.0355483567924785,-0.250805634297619,-0.0989852675557608,-0.0966447581836056,0.060056621426119,-0.202493107992088,-0.410901819096086,-0.205650270881704
"Anthranilic",-0.505342798320387,-0.487932941154301,-0.223059474007075,-0.428216874060897,0.166453218068239,-0.0931179221790894,-0.217000068582701,-0.219362602441048,-0.273311962994126,-0.722585563248583,-0.419224136773477,-0.656596362313438,-0.156890569584984,-0.0686505106019625,-0.5615406343511,-0.518212533023487,-0.504392423552839,-0.462322527259299,-0.50140803795566,-0.383748582085964,-0.643088679890049,-0.372481113629059,0.471427368060505,-0.457543877416034,-0.553081753524596,-0.0796827935690191,-0.539989141960256,1.0000440386733,-0.229893707008889,-0.208774491689378,-0.427556989095695,-0.523597647636667,0.151418531715475,-0.44148636399873,-0.527787986667365,-0.327056688142018,-0.0455186475199085,-0.0475952893232135,-0.262207512175624,-0.254313597900091,-0.802843316607102,-0.532321460279221
"5-Hydroxyindole-3-acetic",0.34669130885019,0.52095687965557,0.565848578797643,0.645642420386964,0.426396853696412,0.693851758861966,0.661324696105457,0.616084287844135,0.633651712753617,0.574345745756494,0.586714727803829,0.574180411399282,0.576155218419466,0.571016032308473,0.792387212302398,0.838754214417629,0.642975695391496,0.67486235015223,0.289153577832136,0.678249676870793,0.349387664542058,0.425436884333236,0.863932170978433,0.699755110537708,0.538202368385438,0.579706447818252,0.474367580419076,0.689265321908405,0.62567730989626,0.711529365394908,0.724437990151199,0.365497669929717,0.523294448077263,0.54607634791004,0.480959200967406,0.265940300799245,0.47354780357326,0.611772772550482,0.548164223916011,0.5428273728255,0.752973660757732,0.866117184364696
"C6:0 (Carn)",-0.691530838177801,-0.900299139623358,-0.799470132819807,-0.849053913498886,-1.0092847976277,-1.17302313426445,-1.01420158341181,-0.839210241924657,-1.0205774591586,-1.05601071919783,-0.989159341644408,-1.19421343380352,-0.614588340425335,-0.950038193475574,-0.979172084901589,-1.04664847238942,-1.03555073824146,-0.759674984816394,-0.965997076838351,-0.875783869553273,-1.03854069426232,-0.856614593808529,-0.533880303450085,-0.957981772707617,-0.714156262783942,-0.854770893786004,-0.883576026164139,-0.958762599798249,-0.794494224596993,-0.699496172557132,-0.808877265862727,-0.845011493271179,-0.655211456467346,-0.878423418375687,-0.559894194328117,-1.13702956605655,-0.854989388307481,-0.90306809806122,-0.887595861481897,-0.793433092956673,-1.34999604010663,-0.932761789770642
"N-Acetyl-5-hydroxytryptamine",-1.17082025570904,-1.00571574884812,-0.969657875264353,-0.914491182645212,-0.862790649657032,-1.11691618065165,-0.868211535479157,-0.997185024708281,-0.776026212449733,-1.01051100670971,-1.16298554805703,-0.951700844898371,-0.97249144017693,-0.972741546129168,-0.958870879029667,-1.10651795070214,-1.07702213828878,-1.12344487380696,-1.03256086995186,-1.04658556487796,-1.45935337057362,-1.08295292084631,-0.759852524034156,-0.973939373885246,-0.921343975448052,-1.04849030246255,-1.15813779152674,-0.171672646453879,-0.996441188687265,-0.874238605746424,-0.951256615147141,-1.02316237676991,-1.04970053376433,-1.19446933053824,-0.953234767078066,-1.21245862586549,-1.14085804993998,-1.07095579532502,-1.22320548088121,-0.971634563301447,-1.20849751897393,-0.966619941458744
"Kynurenic acid",-0.75060244401642,-0.587300405751511,-0.413233643388461,-0.314683179654025,-0.711580415860905,-0.46700326681257,-0.415438136649914,-0.232217532414606,-0.360650329847369,-0.370438037129955,-0.385661570313238,-0.307104623230722,-0.374429098022011,-0.452017491441134,-0.0335394762261151,0.161159618666507,-0.316514936448356,-0.593615320713227,-0.759123440520482,-0.425035580676928,-0.596249693999368,-0.653579933509682,-0.33331919429457,-0.363974399389856,-0.35428940127063,-0.379429346114591,-0.521346866522287,-0.214710492614757,-0.437641975541568,-0.35824939641888,-0.0470185251875495,-0.616397965391837,-0.501998014815104,-0.439061100101575,-0.444919145528296,-0.742227321245171,-0.46208808466704,-0.335260588519534,-0.426960421089672,-0.421611489986652,0.18631947325537,0.0943883213916874
