"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"C14:2 (Carn)","2.251048e-05","2.404730e-04","2.543222e-04","5.223985e-04","8.005229e-05","3.788753e-05","6.084795e-04","1.052159e-04","1.834042e-05","2.657428e-05","2.486140e-05","2.484210e-04","2.147570e-04","4.207810e-04","1.958906e-05","3.212408e-05","5.512977e-04","2.238691e-04","2.464226e-05","6.411863e-05","2.463163e-04","2.112812e-05","4.271609e-05","3.364176e-04","6.869667e-05","8.428379e-05","4.650230e-04","5.075281e-05","4.493867e-04","3.530369e-04","3.794446e-04","5.813735e-04","3.206671e-04","2.329035e-04","5.000356e-04","3.793928e-05","5.522996e-04","1.528613e-04","3.132589e-04","3.227361e-04","3.757489e-04","3.588338e-05"
"C12:0 (Carn)","1.715545e-04","5.742062e-05","4.287627e-05","2.232681e-04","1.301252e-04","1.133723e-04","5.865095e-05","1.324055e-04","2.114251e-04","1.749732e-04","8.662334e-05","8.710692e-05","2.011242e-04","6.874061e-05","1.629459e-04","2.812808e-04","3.527438e-04","7.372336e-04","2.476896e-04","1.682980e-04","7.555989e-04","1.789695e-04","1.390908e-04","5.868162e-05","1.264065e-04","1.356944e-04","2.057972e-04","1.557822e-04","1.035329e-04","1.931911e-04","1.547324e-04","1.183719e-04","2.205612e-04","1.155609e-04","1.434299e-04","1.676320e-04","1.293604e-04","1.976623e-04","9.860256e-05","3.777898e-04","2.007098e-04","2.079336e-04"
"Testosterone","3.142698e-05","1.383107e-05","9.766581e-05","2.576623e-05","6.189700e-05","6.848959e-05","1.994636e-05","3.268827e-05","2.217596e-04","2.644170e-04","1.432688e-05","1.129730e-04","2.097804e-05","3.637220e-05","9.296502e-05","5.833960e-05","1.009175e-04","1.764295e-04","7.977368e-05","1.361032e-05","7.520155e-05","4.346920e-05","3.097022e-05","3.743813e-04","1.221276e-04","5.249005e-05","3.633012e-05","6.671701e-05","2.278840e-05","6.577292e-05","2.576470e-05","4.529489e-05","1.716536e-05","5.603667e-05","1.626661e-05","6.804199e-05","2.362784e-05","1.711031e-05","4.132238e-05","7.735395e-05","1.399114e-04","6.407193e-05"
"C14:0-OH (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14:1 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14:0 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16:1 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Progesterone","6.501093e-05","1.547779e-04","1.267386e-04","2.297322e-04","1.295838e-04","1.208929e-04","1.975339e-04","1.011724e-04","2.788295e-04","9.569108e-05","1.332065e-04","1.489699e-04","1.306958e-04","1.275872e-04","3.491642e-04","4.703294e-05","1.822588e-04","2.065862e-04","1.910970e-04","1.196652e-04","2.423250e-04","1.351587e-04","3.096320e-04","1.723982e-04","1.899357e-04","1.074919e-04","3.072182e-04","2.105103e-04","2.157526e-04","1.094685e-04","1.876183e-04","1.242779e-04","1.602420e-04","1.760449e-04","9.267886e-05","1.315862e-04","2.568866e-04","2.772204e-04","3.359249e-04","1.678496e-04","2.493594e-04","1.409753e-04"
"C18:2 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16:0 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18:1 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18:0 (Carn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 8:0-sn2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
